player_hand,dealer_upcard,action
PAIR_ACE,FIVE,SPLIT
PAIR_2,SIX,SPLIT
PAIR_3,SIX,SPLIT
PAIR_4,SIX,SPLIT
PAIR_5,SIX,NO_SPLIT
PAIR_6,SIX,SPLIT
PAIR_7,SIX,SPLIT
PAIR_8,SIX,SPLIT
PAIR_9,SIX,SPLIT
PAIR_10,SIX,NO_SPLIT
PAIR_ACE,SIX,SPLIT
PAIR_2,SEVEN,SPLIT
PAIR_3,SEVEN,SPLIT
PAIR_4,SEVEN,NO_SPLIT
PAIR_5,SEVEN,NO_SPLIT
PAIR_6,SEVEN,NO_SPLIT
PAIR_7,SEVEN,SPLIT
PAIR_8,SEVEN,SPLIT
PAIR_9,SEVEN,NO_SPLIT
PAIR_10,SEVEN,NO_SPLIT
PAIR_ACE,SEVEN,SPLIT
PAIR_2,EIGHT,NO_SPLIT
PAIR_3,EIGHT,NO_SPLIT
PAIR_4,EIGHT,NO_SPLIT
PAIR_5,EIGHT,NO_SPLIT
PAIR_6,EIGHT,NO_SPLIT
PAIR_7,EIGHT,NO_SPLIT
PAIR_8,EIGHT,SPLIT
PAIR_9,EIGHT,SPLIT
PAIR_10,EIGHT,NO_SPLIT
PAIR_ACE,EIGHT,SPLIT
PAIR_2,NINE,NO_SPLIT
PAIR_3,NINE,NO_SPLIT
PAIR_4,NINE,NO_SPLIT
PAIR_5,NINE,NO_SPLIT
PAIR_6,NINE,NO_SPLIT
PAIR_7,NINE,NO_SPLIT
PAIR_8,NINE,SPLIT
PAIR_9,NINE,SPLIT
PAIR_10,NINE,NO_SPLIT
PAIR_ACE,NINE,SPLIT
PAIR_2,TEN,NO_SPLIT
PAIR_3,TEN,NO_SPLIT
PAIR_4,TEN,NO_SPLIT
PAIR_5,TEN,NO_SPLIT
PAIR_6,TEN,NO_SPLIT
PAIR_7,TEN,NO_SPLIT
PAIR_8,TEN,SPLIT
PAIR_9,TEN,NO_SPLIT
PAIR_10,TEN,NO_SPLIT
PAIR_ACE,TEN,SPLIT
PAIR_2,ACE,NO_SPLIT
PAIR_3,ACE,NO_SPLIT
PAIR_4,ACE,NO_SPLIT
PAIR_5,ACE,NO_SPLIT
PAIR_6,ACE,NO_SPLIT
PAIR_7,ACE,NO_SPLIT
PAIR_8,ACE,SPLIT
PAIR_9,ACE,NO_SPLIT
PAIR_10,ACE,NO_SPLIT
PAIR_ACE,ACE,SPLIT
